Filename,Scenario,User,MonteCarlo,Kdetail,Label_unique,Level,Domain_Type,Top_elevation,Bottom_elevation,Average_head,Porosity,Storativity,Specific_yield,K1_horizontal,K2_horizontal,Angle_K1_to_x_axis,K3_vertical_top_half,K3_vertical_bottom_half
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,01-Q_NA_PA-1A,1,confined,0,-850,0,0.1,0.001,0.1,20.0,20.0,0,1.0,1.0
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,01-Q_NA_PA-1B,1,confined,0,-800,0,0.1,0.001,0.1,20.0,20.0,0,1.0,1.0
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,01-Q_NA_PA-1C,1,confined,0,-400,0,0.1,0.001,0.1,20.0,20.0,0,1.0,1.0
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,01-Q_NA_PA-2A,1,confined,0,-200,0,0.1,0.001,0.1,20.0,20.0,0,1.0,1.0
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,01-Q_NA_PA-3A,1,confined,0,-40,0,0.1,0.001,0.1,20.0,20.0,0,1.0,1.0
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,02-PA_Bm-1A,2,confined,-850,-920,0,0.1,0.001,0.1,1e-06,1e-06,0,0.00016,0.00016
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,02-PA_Bm-1B,2,confined,-800,-860,0,0.1,0.001,0.1,1e-06,1e-06,0,0.00016,0.00016
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,02-PA_Bm-1C,2,confined,-400,-520,0,0.1,0.001,0.1,1e-06,1e-06,0,0.00016,0.00016
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,02-PA_Bm-2A,2,confined,-200,-300,0,0.1,0.001,0.1,1e-06,1e-06,0,0.00016,0.00016
Model_Sort_001005001ani_Sc_001_Uid005_MC_001_K_full_ani.xlsx.anaq,001,005,001,full_ani.xlsx,02-PA_Bm-3A,2,confined,-40,-80,0,0.1,0.001,0.1,1e-06,1e-06,0,0.00016,0.00016
